0 G
0 B
0 =
0 T
100489 L
100489 P
100489 S
100489 t
103649 p
103649 s
103649 =
103649 T
599289 b
599289 B
599289 =
599289 T
647189 L
647189 P
647189 S
647189 t
649189 p
649189 s
649189 =
649189 T
999769 L
999769 P
999769 S
999769 t
1001769 p
1001769 s
1001769 =
1001769 T
1199289 b
1199289 B
1199289 =
1199289 T
1304969 L
1304969 P
1304969 S
1304969 t
1306229 p
1306229 s
1306229 =
1306229 T
1323719 L
1323719 P
1323719 S
1323719 t
1324979 p
1324979 s
1324979 =
1324979 T
1792439 L
1792439 P
1792439 S
1792439 t
1793699 p
1793699 s
1793699 =
1793699 T
1799289 b
1799289 B
1799289 =
1799289 T
1803469 L
1803469 P
1803469 S
1803469 t
1804259 p
1804259 s
1804259 =
1804259 T
2207119 L
2207119 P
2207119 S
2207119 t
2207909 p
2207909 s
2207909 =
2207909 T
2322169 L
2322169 P
2322169 S
2322169 t
2322959 p
2322959 s
2322959 =
2322959 T
2399289 b
2399289 B
2399289 =
2399289 T
2492799 L
2492799 P
2492799 S
2492799 t
2493299 p
2493299 s
2493299 =
2493299 T
2514789 L
2514789 P
2514789 S
2514789 t
2515289 p
2515289 s
2515289 =
2515289 T
2553319 L
2553319 P
2553319 S
2553319 t
2553819 p
2553819 s
2553819 =
2553819 T
2733209 L
2733209 P
2733209 S
2733209 t
2733709 p
2733709 s
2733709 =
2733709 T
2751409 L
2751409 P
2751409 S
2751409 t
2751909 p
2751909 s
2751909 =
2751909 T
2999289 b
2999289 B
2999289 =
2999289 T
3193139 L
3193139 P
3193139 S
3193139 t
3193459 p
3193459 s
3193459 =
3193459 T
3219419 L
3219419 P
3219419 S
3219419 t
3219739 p
3219739 s
3219739 =
3219739 T
3385659 L
3385659 P
3385659 S
3385659 t
3385979 p
3385979 s
3385979 =
3385979 T
3385989 L
3385989 P
3385989 S
3385989 t
3386309 p
3386309 s
3386309 =
3386309 T
3409399 L
3409399 P
3409399 S
3409399 t
3409719 p
3409719 s
3409719 =
3409719 T
3532489 L
3532489 P
3532489 S
3532489 t
3532809 p
3532809 s
3532809 =
3532809 T
3599289 b
3599289 B
3599289 =
3599289 T
3610539 L
3610539 P
3610539 S
3610539 t
3610739 p
3610739 s
3610739 =
3610739 T
3685249 L
3685249 P
3685249 S
3685249 t
3685449 p
3685449 s
3685449 =
3685449 T
3685549 L
3685549 P
3685549 S
3685549 t
3685749 p
3685749 s
3685749 =
3685749 T
3757759 L
3757759 P
3757759 S
3757759 t
3757959 p
3757959 s
3757959 =
3757959 T
3815289 L
3815289 P
3815289 S
